               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.036202,           0.0082162,           0.0039614,             0.93018,             0.78495,             0.83962,             0.49161,            0.037661,           0.0088854,           0.0080841,            0.006799,            0.006799,            0.006799
                  99,            0.036173,           0.0082055,           0.0040234,             0.86348,             0.82389,             0.84437,             0.50354,            0.036477,           0.0089617,           0.0083416,            0.006766,            0.006766,            0.006766
                 100,            0.037649,           0.0088865,           0.0041218,             0.88492,             0.82316,              0.8601,             0.53135,            0.036091,           0.0086803,           0.0081246,            0.006733,            0.006733,            0.006733
                 101,            0.036169,           0.0086033,           0.0039505,             0.91691,             0.82216,             0.87552,             0.53026,            0.036032,            0.008584,           0.0071371,              0.0067,              0.0067,              0.0067
                 102,             0.03603,           0.0084923,           0.0039977,             0.95139,             0.80396,             0.86491,             0.51158,            0.037141,           0.0086336,           0.0069599,            0.006667,            0.006667,            0.006667
                 103,            0.036771,           0.0074139,           0.0039486,              0.9417,             0.79611,             0.85434,             0.54689,            0.034743,           0.0085192,             0.00701,            0.006634,            0.006634,            0.006634
                 104,            0.036543,           0.0075564,           0.0041146,             0.94671,              0.7887,             0.84636,             0.50731,            0.035965,           0.0085783,           0.0075035,            0.006601,            0.006601,            0.006601
                 105,            0.035664,           0.0080146,           0.0041403,             0.94373,             0.80327,             0.86323,              0.5113,            0.036758,           0.0087719,           0.0072036,            0.006568,            0.006568,            0.006568
                 106,            0.036206,           0.0082286,           0.0039094,             0.89965,             0.84859,             0.87743,              0.5377,            0.035208,           0.0085545,           0.0067902,            0.006535,            0.006535,            0.006535
                 107,            0.034486,           0.0080736,           0.0039561,             0.93672,             0.82415,             0.88198,              0.5628,            0.034194,           0.0085316,            0.006978,            0.006502,            0.006502,            0.006502
                 108,            0.036577,            0.008241,           0.0044439,             0.89518,             0.83306,             0.86985,             0.56018,            0.034759,           0.0084047,           0.0068688,            0.006469,            0.006469,            0.006469
                 109,            0.035134,            0.008104,           0.0037184,             0.88413,             0.84217,             0.87279,             0.53417,            0.035529,           0.0086594,           0.0074849,            0.006436,            0.006436,            0.006436
                 110,            0.035961,           0.0081272,           0.0040403,             0.93935,             0.82053,             0.85693,             0.50708,            0.035401,           0.0085917,           0.0077522,            0.006403,            0.006403,            0.006403
                 111,            0.035018,           0.0077149,           0.0037147,             0.93424,              0.8183,             0.88208,             0.56542,            0.034986,           0.0085802,           0.0076642,             0.00637,             0.00637,             0.00637
                 112,            0.035874,           0.0080533,           0.0039474,             0.86406,             0.82175,             0.85551,             0.53262,            0.036013,           0.0087738,           0.0078361,            0.006337,            0.006337,            0.006337
