                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71363,                0.43311,                0.84447,                 1.1382,                0.52517,                0.83123,                0.88554,                 0.7551,                0.79156,                0.52187,                0.78817,                0.50964,                0.88564,                  1.181,                0.58718,                 0.8829,             0.00081036,             0.00081036,             0.00081036
                     85,                0.72073,                0.43536,                0.85422,                 1.1308,                0.52034,                 0.8501,                0.92408,                0.72655,                0.78787,                0.52777,                0.78071,                 0.4834,                0.86779,                 1.1151,                0.51344,                0.87746,              0.0008067,              0.0008067,              0.0008067
                     86,                0.74346,                0.44695,                0.86878,                 1.1501,                 0.5254,                0.86324,                0.91912,                0.75125,                0.79041,                0.52502,                0.79483,                0.45168,                0.87704,                 1.1453,                0.56091,                0.86585,             0.00080303,             0.00080303,             0.00080303
                     87,                0.73194,                0.44016,                0.84882,                 1.1436,                0.53631,                0.84238,                0.93067,                0.72369,                0.77894,                0.52932,                0.79304,                0.47194,                0.86475,                 1.1414,                0.53274,                0.87646,             0.00079936,             0.00079936,             0.00079936
                     88,                0.70937,                0.42415,                0.84485,                  1.123,                 0.5059,                0.84092,                0.84702,                0.77265,                0.79133,                0.52209,                0.81386,                0.48192,                0.87113,                  1.157,                0.58036,                0.87423,              0.0007957,              0.0007957,              0.0007957
                     89,                0.73138,                0.42407,                0.84958,                 1.1471,                0.49513,                0.84433,                0.94365,                 0.7121,                0.78824,                0.52474,                 0.8124,                0.46911,                0.88105,                 1.1323,                0.55383,                0.88183,             0.00079203,             0.00079203,             0.00079203
                     90,                0.72734,                0.43911,                0.85112,                 1.1466,                0.48989,                0.84709,                0.88421,                0.74124,                 0.7827,                0.49692,                0.82957,                0.51498,                0.88607,                 1.1973,                0.67357,                0.88614,             0.00078837,             0.00078837,             0.00078837
                     91,                 0.6767,                0.41277,                0.85543,                 1.0429,                0.46413,                0.84758,                0.83839,                0.72846,                0.76624,                0.51048,                0.80966,                 0.4984,                0.88288,                 1.1622,                0.59735,                0.87633,              0.0007847,              0.0007847,              0.0007847
                     92,                0.69387,                0.41678,                0.85105,                 1.0858,                0.49487,                0.84919,                0.87462,                0.74939,                0.78998,                0.52034,                0.82049,                0.48565,                0.87739,                 1.1914,                0.61751,                0.87028,             0.00078103,             0.00078103,             0.00078103
                     93,                0.70743,                0.42991,                0.85865,                 1.0984,                0.48289,                0.84746,                0.87214,                0.75226,                0.78678,                 0.5342,                0.78134,                0.48156,                0.87737,                 1.1203,                0.59719,                0.85442,             0.00077737,             0.00077737,             0.00077737
                     94,                 0.7186,                0.44675,                0.85244,                 1.1179,                0.51773,                0.84861,                 0.8821,                0.71251,                0.77519,                0.51929,                0.78609,                0.47368,                0.86801,                 1.1533,                0.61947,                0.87487,              0.0007737,              0.0007737,              0.0007737
                     95,                0.72545,                0.44548,                 0.8384,                   1.11,                0.51377,                0.83185,                0.90439,                0.71405,                0.77853,                0.51734,                0.77944,                0.46828,                0.86749,                 1.1699,                0.55384,                0.87049,             0.00077003,             0.00077003,             0.00077003
                     96,                0.74967,                0.44529,                0.84399,                 1.1421,                0.50086,                0.84035,                0.90473,                0.69532,                0.75831,                0.51471,                0.80959,                0.47871,                 0.8795,                 1.1946,                0.60356,                0.87406,             0.00076637,             0.00076637,             0.00076637
                     97,                0.72121,                   0.43,                0.85479,                 1.1172,                0.47809,                0.84547,                0.90699,                0.71602,                0.77664,                0.52359,                0.77197,                0.49018,                0.85876,                  1.158,                0.56171,                 0.8556,              0.0007627,              0.0007627,              0.0007627
                     98,                0.70962,                0.44353,                0.84464,                 1.1195,                0.52545,                0.83564,                 0.8389,                0.72422,                0.75938,                0.51908,                0.74297,                0.47452,                 0.8478,                 1.1075,                0.64521,                0.85397,             0.00075904,             0.00075904,             0.00075904
                     99,                0.67752,                0.39714,                0.83764,                  1.014,                0.45543,                0.82406,                0.87399,                0.72033,                0.77988,                0.53527,                0.72984,                0.46746,                0.84163,                 1.0845,                0.59287,                  0.845,             0.00075537,             0.00075537,             0.00075537
                    100,                0.69437,                0.42615,                0.85648,                 1.0953,                0.51696,                 0.8555,                0.90644,                 0.6752,                0.76797,                0.52964,                0.73378,                 0.4643,                0.84884,                 1.1144,                0.58999,                0.84063,              0.0007517,              0.0007517,              0.0007517
                    101,                0.66269,                0.39745,                0.82502,                 1.0697,                0.49142,                0.82922,                0.89686,                0.71821,                 0.7862,                 0.5324,                0.73995,                0.46204,                0.83933,                 1.0699,                0.56479,                0.83072,             0.00074804,             0.00074804,             0.00074804
                    102,                0.62497,                0.38002,                0.83776,                 1.0049,                 0.4669,                0.83876,                0.84966,                0.72968,                0.78147,                0.54226,                0.72416,                0.44607,                0.83909,                 1.0927,                0.54656,                0.83524,             0.00074437,             0.00074437,             0.00074437
                    103,                0.68573,                0.41169,                0.85307,                 1.0639,                0.49041,                0.84495,                0.85723,                0.67713,                0.74588,                0.51951,                0.74569,                0.49237,                0.84711,                 1.1211,                0.62712,                0.84368,              0.0007407,              0.0007407,              0.0007407
                    104,                0.65605,                0.39688,                0.83269,                 1.0535,                0.49434,                0.82846,                0.84988,                 0.6996,                0.76289,                0.50781,                0.77755,                0.45543,                0.86217,                 1.1719,                0.60669,                0.86089,             0.00073704,             0.00073704,             0.00073704
                    105,                0.64836,                0.39781,                 0.8319,                 1.0383,                0.48701,                0.82945,                0.84064,                0.72586,                0.76533,                   0.52,                0.75748,                0.46858,                0.86458,                 1.1452,                0.56059,                0.86237,             0.00073337,             0.00073337,             0.00073337
                    106,                0.68152,                0.41502,                0.84047,                  1.093,                0.48512,                0.83301,                0.87287,                0.71825,                0.78054,                0.52939,                0.76437,                0.46333,                0.85284,                 1.1413,                0.53791,                0.83222,              0.0007297,              0.0007297,              0.0007297
