                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.75794,                0.44288,                0.85701,                 1.1627,                0.51636,                 0.8551,                0.93481,                0.68566,                0.76914,                0.50919,                0.80077,                0.48962,                0.85862,                 1.1975,                0.57475,                0.85044,              0.0008177,              0.0008177,              0.0008177
                     83,                0.80372,                0.45263,                0.86729,                 1.1736,                0.53072,                0.85688,                 0.9046,                0.71713,                 0.7769,                0.52191,                 0.8248,                0.46818,                0.85662,                 1.2026,                0.54488,                0.83936,             0.00081403,             0.00081403,             0.00081403
                     84,                0.72123,                0.44682,                0.83685,                   1.06,                0.54005,                0.82683,                0.92227,                0.70324,                0.76953,                0.52101,                0.78294,                0.47698,                0.85162,                 1.1646,                0.58471,                 0.8458,             0.00081036,             0.00081036,             0.00081036
                     85,                0.72365,                0.43144,                0.84677,                 1.1034,                0.49887,                0.84338,                0.89192,                0.68152,                0.76287,                0.51604,                 0.8071,                0.50559,                0.86142,                 1.1639,                0.66783,                0.84213,              0.0008067,              0.0008067,              0.0008067
                     86,                0.72161,                0.45487,                0.83811,                 1.1143,                0.53272,                0.83491,                0.91843,                0.72955,                0.78474,                0.52197,                0.83914,                0.52566,                0.86565,                  1.176,                0.62093,                0.85021,             0.00080303,             0.00080303,             0.00080303
                     87,                0.70447,                0.43466,                0.83982,                 1.1173,                0.52913,                0.83489,                0.82822,                0.74187,                0.77928,                0.52543,                 0.7975,                0.54018,                0.87651,                 1.1249,                0.66733,                 0.8379,             0.00079936,             0.00079936,             0.00079936
                     88,                0.68867,                0.41484,                0.84652,                 1.0295,                0.45127,                0.83978,                0.93586,                0.67508,                0.77016,                0.52217,                0.82109,                0.47241,                0.86761,                  1.185,                0.56581,                0.84795,              0.0007957,              0.0007957,              0.0007957
                     89,                0.76803,                0.46804,                0.83351,                 1.1546,                  0.509,                0.84331,                0.91896,                0.72083,                0.78116,                0.53254,                0.77762,                0.48614,                0.85493,                  1.149,                0.56229,                0.84529,             0.00079203,             0.00079203,             0.00079203
                     90,                0.70122,                0.40957,                0.84761,                 1.0475,                0.44803,                0.84617,                0.85348,                0.77148,                0.79047,                 0.5111,                0.80338,                0.47882,                0.86892,                 1.1672,                0.58158,                0.86586,             0.00078837,             0.00078837,             0.00078837
                     91,                0.74931,                0.45358,                0.81056,                 1.1218,                0.50818,                0.80674,                0.90831,                0.71009,                0.77793,                0.51421,                0.82985,                0.47603,                0.87091,                 1.1792,                0.57812,                0.85987,              0.0007847,              0.0007847,              0.0007847
                     92,                0.72375,                0.42883,                0.84638,                 1.1604,                0.52026,                0.84352,                0.86584,                0.72417,                0.77695,                0.51887,                0.81409,                0.48602,                0.86526,                 1.1856,                0.58414,                0.85425,             0.00078103,             0.00078103,             0.00078103
                     93,                0.66703,                0.40706,                0.80705,                 1.0524,                0.46197,                 0.8087,                0.93152,                0.69951,                0.77616,                0.51047,                0.80364,                0.47342,                0.85743,                 1.1979,                0.55106,                0.85552,             0.00077737,             0.00077737,             0.00077737
                     94,                0.71829,                0.43177,                0.83294,                 1.1255,                0.49399,                0.83095,                0.90034,                0.70658,                0.76314,                0.51683,                0.81441,                0.47223,                0.86073,                 1.2043,                0.53263,                0.85396,              0.0007737,              0.0007737,              0.0007737
                     95,                0.67016,                0.40173,                0.80745,                 1.0594,                0.43287,                0.80067,                0.92967,                 0.7224,                0.77544,                0.52666,                0.76099,                0.45343,                0.86064,                 1.1519,                0.56355,                0.83901,             0.00077003,             0.00077003,             0.00077003
                     96,                0.69701,                0.40974,                0.83384,                 1.0869,                0.47468,                0.82456,                0.94386,                0.71337,                0.78371,                 0.5371,                0.74257,                0.42508,                0.84586,                 1.1343,                0.53125,                0.83765,             0.00076637,             0.00076637,             0.00076637
                     97,                0.69292,                0.41554,                0.83127,                 1.0894,                0.49729,                0.83048,                0.93822,                 0.7086,                0.77752,                0.53454,                0.74844,                0.43962,                0.84151,                 1.1506,                0.55245,                0.83289,              0.0007627,              0.0007627,              0.0007627
                     98,                0.65351,                0.40598,                0.79599,                 1.0135,                0.46185,                0.79322,                0.86623,                0.73992,                 0.7921,                0.53372,                0.75337,                0.45926,                 0.8434,                 1.1078,                0.58545,                0.83041,             0.00075904,             0.00075904,             0.00075904
                     99,                0.67364,                0.41967,                0.83253,                 1.0973,                0.53147,                0.83074,                0.88403,                0.75449,                0.79136,                0.51995,                0.79987,                0.46293,                0.86373,                 1.1405,                0.54098,                0.84412,             0.00075537,             0.00075537,             0.00075537
                    100,                0.69845,                0.41407,                 0.8538,                 1.0489,                0.46634,                0.85805,                0.90421,                0.74697,                0.79329,                0.52585,                0.78215,                0.46637,                0.86298,                 1.1562,                0.51919,                0.85149,              0.0007517,              0.0007517,              0.0007517
                    101,                0.70309,                0.41346,                0.82209,                 1.0995,                0.48068,                0.81909,                0.89953,                0.73561,                 0.7803,                0.51553,                0.79353,                0.46262,                0.86035,                 1.1558,                0.54648,                0.85532,             0.00074804,             0.00074804,             0.00074804
                    102,                0.73212,                0.39892,                0.81473,                  1.095,                0.45288,                0.81725,                0.83967,                 0.7419,                0.77339,                0.52555,                 0.8241,                0.45168,                0.87595,                 1.1502,                 0.5578,                0.85837,             0.00074437,             0.00074437,             0.00074437
                    103,                0.71493,                0.42574,                0.84187,                 1.1028,                0.49096,                0.83606,                0.85611,                0.69643,                0.74998,                0.50978,                0.80451,                0.45273,                0.86296,                  1.143,                0.61593,                0.85301,              0.0007407,              0.0007407,              0.0007407
                    104,                0.66754,                0.39833,                0.82048,                 1.0913,                0.48535,                0.82256,                0.92914,                0.70328,                0.77275,                0.52759,                0.78864,                0.45286,                0.85137,                 1.1305,                0.61116,                0.84227,             0.00073704,             0.00073704,             0.00073704
                    105,                0.72517,                0.42202,                0.84153,                 1.1108,                0.49806,                0.83398,                0.87878,                0.72718,                0.78417,                0.52913,                0.78399,                 0.4492,                 0.8532,                 1.1518,                0.58089,                0.84762,             0.00073337,             0.00073337,             0.00073337
